State, Optimal Action, Shielded Action 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4.35442,0.4,0.4
4.36483,0.8,0.8
4.37089,0.8,0.8
4.36641,0.8,0.8
4.35842,0.8,0.8
4.35842,0.8,0.8
4.36283,0.8,0.8
4.35817,0.8,0.8
4.36141,0.8,0.8
4.35917,0.8,0.8
4.36541,0.8,0.8
4.35842,0.8,0.8
4.36241,0.8,0.8
4.36341,0.8,0.8
4.36141,0.8,0.8
4.36341,0.8,0.8
4.35917,0.8,0.8
4.36117,0.8,0.8
4.36341,0.8,0.8
4.36141,0.8,0.8
4.35942,0.8,0.8
4.35783,0.8,0.8
4.37,0.8,0.8
4.36117,0.8,0.8
4.35742,0.8,0.8
4.35817,0.8,0.8
4.36541,0.8,0.8
4.36329,0.8,0.8
4.36441,0.8,0.8
4.36517,0.8,0.8
4.36341,0.8,0.8
4.35384,0.8,0.8
4.36183,0.8,0.8
4.36341,0.8,0.8
4.36417,0.8,0.8
