Serial No, State, Optimal Action, Shielded Action 
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
3,1.20911,0.2,0
5,1.21771,0.2,0
7,1.21406,0.2,0
9,1.2159,0.2,0
11,1.2101,0.2,0
13,1.20812,0.2,0
15,1.20415,0.2,0
17,1.20812,0.2,0
19,1.20812,0.2,0
21,1.19919,0.2,0
23,1.20896,0.2,0
25,1.20977,0.2,0
27,1.21194,0.2,0
29,1.21789,0.2,0
31,1.20911,0.2,0
33,1.21109,0.2,0
35,1.21109,0.2,0
37,1.21506,0.2,0
39,1.2101,0.2,0
41,1.20911,0.2,0
43,1.21506,0.2,0
45,1.21506,0.2,0
47,1.21474,0.2,0
49,1.20911,0.2,0
51,1.20598,0.2,0
53,1.20613,0.2,0
54,1.2101,0.2,0
56,1.21307,0.2,0
58,1.20415,0.2,0
60,1.21392,0.2,0
62,1.20977,0.2,0
64,1.21307,0.2,0
66,1.21208,0.2,0
68,1.20613,0.2,0
70,1.20217,0.2,0
72,1.20613,0.2,0
74,1.20698,0.2,0
76,1.21109,0.2,0
78,1.20812,0.2,0
80,1.20217,0.2,0
82,1.20812,0.2,0
84,1.20812,0.2,0
86,1.20911,0.2,0
88,1.20911,0.2,0
90,1.21406,0.2,0
92,1.20514,0.2,0
94,1.21109,0.2,0
96,1.204,0.2,0
98,1.20812,0.2,0
100,1.21176,0.2,0
102,1.21506,0.2,0
104,1.21194,0.2,0
106,1.21987,0.2,0
108,1.20812,0.2,0
110,1.20896,0.2,0
112,1.21506,0.2,0
114,1.2101,0.2,0
116,1.20415,0.2,0
118,1.20812,0.2,0
120,1.21208,0.2,0
122,1.2101,0.2,0
124,1.20415,0.2,0
126,1.2101,0.2,0
128,1.20712,0.2,0
130,1.19721,0.2,0
132,1.2101,0.2,0
134,1.21605,0.2,0
136,1.21406,0.2,0
138,1.2101,0.2,0
140,1.21406,0.2,0
142,1.21109,0.2,0
144,1.21208,0.2,0
146,1.20911,0.2,0
148,1.21109,0.2,0
150,1.20514,0.2,0
152,1.21109,0.2,0
154,1.20018,0.2,0
156,1.20812,0.2,0
158,1.19919,0.2,0
160,1.20812,0.2,0
162,1.20995,0.2,0
164,1.21406,0.2,0
166,1.21406,0.2,0
168,1.21506,0.2,0
170,1.21406,0.2,0
172,1.20812,0.2,0
174,1.20812,0.2,0
176,1.21392,0.2,0
178,1.20812,0.2,0
180,1.2101,0.2,0
182,1.20301,0.2,0
184,1.20995,0.2,0
186,1.21605,0.2,0
188,1.20812,0.2,0
190,1.20217,0.2,0
192,1.21109,0.2,0
194,1.21506,0.2,0
196,1.21704,0.2,0
198,1.21374,0.2,0
200,1.21307,0.2,0
202,1.20812,0.2,0
204,1.20514,0.2,0
206,1.21307,0.2,0
208,1.20911,0.2,0
210,1.21652,0.2,0
212,1.20118,0.2,0
214,1.20712,0.2,0
216,1.21771,0.2,0
218,1.2101,0.2,0
220,1.20812,0.2,0
222,1.20514,0.2,0
224,1.20514,0.2,0
226,1.21406,0.2,0
228,1.20415,0.2,0
230,1.21672,0.2,0
232,1.21109,0.2,0
234,1.20878,0.2,0
236,1.21109,0.2,0
238,1.2101,0.2,0
240,1.21803,0.2,0
242,1.2101,0.2,0
244,1.21208,0.2,0
