Network Latency, State, Optimal Action, Shielded Action 
434.574565000,0,0,0
434.510153000,0,0,0
435.768254000,0,0,0
0.328861000,0,0,0
0.060576000,0,0,0
0.064288000,0,0,0
0.067295000,0,0,0
0.120958000,0,0,0
0.079264000,0,0,0
0.061631000,0,0,0
0.059360000,0,0,0
0.062303000,0,0,0
0.060703000,0,0,0
0.107038000,0,0,0
0.061376000,0,0,0
0.062272000,0,0,0
0.060064000,0,0,0
0.062655000,0,0,0
0.066112000,0,0,0
0.060320000,0,0,0
0.078655000,0,0,0
0.076159000,0,0,0
0.060511000,0,0,0
0.061952000,0,0,0
0.062527000,0,0,0
0.064831000,0,0,0
0.062015000,0,0,0
0.062847000,0,0,0
0.061855000,0,0,0
0.064063000,0,0,0
0.061087000,0,0,0
0.061376000,0,0,0
0.076255000,0,0,0
0.062111000,0,0,0
0.062015000,0,0,0
0.062335000,0,0,0
0.060159000,0,0,0
0.060511000,0,0,0
0.061727000,0,0,0
0.062463000,0,0,0
0.063968000,0,0,0
0.061888000,0,0,0
0.063551000,0,0,0
0.350140000,0,0,0
0.061151000,0,0,0
0.060415000,0,0,0
0.058847000,0,0,0
0.034304000,0,0,0
0.064607000,0,0,0
0.078080000,0,0,0
0.063168000,0,0,0
0.062847000,0,0,0
0.063712000,0,0,0
0.060959000,0,0,0
0.062975000,0,0,0
0.060256000,0,0,0
0.057952000,0,0,0
0.060031000,0,0,0
0.060095000,0,0,0
0.071615000,0,0,0
0.093535000,0,0,0
0.062591000,0,0,0
0.060607000,0,0,0
0.061791000,0,0,0
0.061024000,0,0,0
0.060832000,0,0,0
0.059999000,0,0,0
0.060511000,0,0,0
0.060159000,0,0,0
0.060927000,0,0,0
0.063679000,0,0,0
0.062879000,0,0,0
0.059327000,0,0,0
0.060320000,0,0,0
0.060831000,0,0,0
0.071039000,0,0,0
0.062623000,0,0,0
0.069215000,0,0,0
0.060127000,0,0,0
0.060992000,0,0,0
0.211742000,0,0,0
0.130718000,0,0,0
0.107743000,0,0,0
0.322812000,0,0,0
0.287293000,0,0,0
0.099935000,0,0,0
0.105407000,0,0,0
0.125471000,0,0,0
0.112255000,0,0,0
0.099903000,0,0,0
0.095999000,0,0,0
0.059583000,0,0,0
0.061920000,0,0,0
0.070399000,0,0,0
0.060479000,0,0,0
0.059103000,0,0,0
0.061440000,0,0,0
0.049343000,0,0,0
0.033888000,0,0,0
0.383900000,0,0,0
0.096574000,0,0,0
162.784411000,2.24553,0.2,0.2
213.242016000,2.20813,0.4,0.4
262.637008000,2.16175,0.6,0.6
314.930079000,2.11014,0.8,0.8
364.801770000,2.04558,1,1
412.817355000,1.98276,1,0
412.295472000,1.86834,0.2,0
412.285936000,1.76904,0.2,0
412.175378000,1.67978,0.2,0.2
412.134834000,1.59642,0.4,0.4
411.833269000,1.49363,0.6,0
411.810229000,1.41721,0.2,0
411.474743000,1.39271,0.2,0
413.352129000,1.3897,0.2,0
414.007448000,1.39542,0.2,0
411.757265000,1.40542,0.2,0
411.353462000,1.4057,0.2,0
411.292182000,1.41383,0.2,0
411.831696000,1.4086,0.2,0
411.097816000,1.40442,0.2,0
410.758972000,1.4413,0.2,0
410.625853000,1.51111,0.2,0.2
410.666779000,1.61193,0.4,0.4
408.462643000,1.70271,0.6,0.6
410.659544000,1.79539,0.8,0
410.538265000,1.88668,0.2,0.2
410.538873000,1.96691,0.4,0.4
410.247164000,2.03532,0.6,0.6
410.166268000,2.11571,0.8,0.8
410.367995000,2.19684,1,1
410.106621000,2.26839,1,1
409.964030000,2.35037,1,1
410.082396000,2.41907,1,1
410.588725000,2.50404,1,1
409.716189000,2.58532,1,1
409.403968000,2.59101,1,1
408.806311000,2.52469,1,1
409.948345000,2.42359,1,1
413.827885000,2.30078,1,1
409.631453000,2.16316,1,1
409.342592000,2.0318,1,1
409.178594000,1.9123,1,0
409.867288000,1.79498,0.2,0
408.364040000,1.67908,0.2,0
408.684099000,1.56637,0.2,0.2
411.332484000,1.46285,0.4,0
409.478233000,1.35044,0.2,0
407.936330000,1.2668,0.2,0
407.826028000,1.24164,0.2,0
408.898976000,1.24199,0.2,0
410.817354000,1.24599,0.2,0
410.940680000,1.24987,0.2,0
408.359716000,1.25394,0.2,0
408.089158000,1.28187,0.2,0
408.014853000,1.32702,0.2,0
407.767111000,1.39786,0.2,0
407.539593000,1.44685,0.2,0
407.261165000,1.47198,0.2,0
407.823654000,1.47785,0.2,0
407.442602000,1.477,0.2,0
407.760775000,1.47185,0.2,0
408.707036000,1.47085,0.2,0
407.072941000,1.47298,0.2,0
407.127563000,1.47793,0.2,0
406.883149000,1.46893,0.2,0
406.817004000,1.473,0.2,0
406.739181000,1.47593,0.2,0
406.164628000,1.47393,0.2,0
406.523088000,1.47498,0.2,0
406.419089000,1.47598,0.2,0
406.454481000,1.47118,0.2,0
406.214546000,1.47193,0.2,0
406.252240000,1.50357,0.2,0.2
405.931859000,1.58093,0.4,0.4
405.718324000,1.65993,0.6,0.6
405.756371000,1.73192,0.8,0
405.423030000,1.76498,0.2,0.2
410.221984000,1.76982,0.4,0.4
405.458646000,1.77898,0.6,0
405.361367000,1.77569,0.2,0.2
407.400864000,1.77382,0.4,0.4
405.121850000,1.76292,0.6,0.6
404.547999000,1.75105,0.8,0
404.988600000,1.723,0.2,0.2
404.710042000,1.70398,0.4,0.4
404.456092000,1.69153,0.6,0
404.462588000,1.658,0.2,0.2
406.173737000,1.60935,0.4,0.4
404.082465000,1.58056,0.6,0.6
404.817625000,1.55356,0.8,0
403.879043000,1.52698,0.2,0.2
403.881634000,1.50698,0.4,0.4
404.211774000,1.49717,0.6,0
403.949151000,1.46373,0.2,0
403.523010000,1.40174,0.2,0
404.252409000,1.37175,0.2,0
402.266288000,1.34486,0.2,0
402.409582000,1.32376,0.2,0
402.661227000,1.30186,0.2,0
403.324420000,1.295,0.2,0
403.370723000,1.30476,0.2,0
403.256836000,1.30694,0.2,0
403.055013000,1.29962,0.2,0
402.795014000,1.30286,0.2,0
402.724934000,1.30826,0.2,0
402.399849000,1.34094,0.2,0
402.376393000,1.40674,0.2,0
402.250666000,1.48973,0.2,0
402.165835000,1.56098,0.2,0.2
402.280363000,1.64093,0.4,0.4
402.115532000,1.70498,0.6,0.6
402.238475000,1.77969,0.8,0
402.409064000,1.84198,0.2,0.2
402.237480000,1.921,0.4,0.4
401.579758000,1.98481,0.6,0
401.292977000,2.04491,0.2,0.2
401.516622000,2.11791,0.4,0.4
401.432527000,2.18398,0.6,0.6
400.994772000,2.25298,0.8,0.8
404.058993000,2.31778,1,1
401.812778000,2.37859,1,1
402.858110000,2.4389,1,1
402.810589000,2.47158,1,1
401.312141000,2.47589,1,1
400.939792000,2.45358,1,1
400.874832000,2.42336,1,1
400.825137000,2.4079,1,1
400.327670000,2.419,1,1
402.147201000,2.42297,1,1
403.469202000,2.42277,1,1
408.051101000,2.4279,1,1
403.693264000,2.41177,1,1
400.305941000,2.4109,1,1
448.301484000,2.4039,1,1
402.699863000,2.39408,1,1
406.469131000,2.35477,1,1
403.634763000,2.28498,1,1
449.738936000,2.22962,1,1
449.652122000,2.12663,1,1
402.702774000,1.96891,1,0
405.217625000,1.85967,0.2,0
403.291566000,1.74369,0.2,0
449.479194000,1.70032,0.2,0.2
449.250715000,1.59893,0.4,0.4
448.916030000,1.50173,0.6,0.6
448.988444000,1.40142,0.8,0
449.457398000,1.36775,0.2,0
448.503489000,1.35744,0.2,0
448.522113000,1.36075,0.2,0
449.594772000,1.36461,0.2,0
401.623901000,1.36986,0.2,0
401.249569000,1.37,0.2,0
451.135201000,1.3896,0.2,0
449.216022000,1.45859,0.2,0
403.383429000,1.59636,0.2,0.2
402.359568000,1.69632,0.4,0.4
448.271102000,1.74031,0.6,0.6
448.257695000,1.82102,0.8,0
448.066145000,1.91297,0.2,0.2
400.370054000,2.04991,0.4,0.4
400.575557000,2.12763,0.6,0.6
449.190932000,2.1775,0.8,0.8
400.726177000,2.30211,1,1
401.396632000,2.37838,1,1
400.941339000,2.41074,1,1
449.294572000,2.40774,1,1
447.881725000,2.37238,1,1
448.488758000,2.2999,1,1
447.814782000,2.20508,1,1
447.198533000,2.09055,1,1
400.931835000,1.9223,1,0
447.449185000,1.86949,0.2,0
447.449312000,1.7593,0.2,0
449.576678000,1.6537,0.2,0.2
446.933987000,1.55458,0.4,0.4
