Network Latency, State, Optimal Action, Shielded Action 
332.815,0,0,0
433.855,0,0,0
532.795,0,0,0
633.831,0,0,0
733.646,0,0,0
832.757,0,0,0
932.813,0,0,0
1032.74,0,0,0
1132.73,0,0,0
1232.77,0,0,0
1332.76,0,0,0
1432.76,0,0,0
1532.79,0,0,0
1633.54,0,0,0
1732.77,0,0,0
1832.78,0,0,0
1932.78,0,0,0
2033.29,0,0,0
2132.78,0,0,0
2232.79,0,0,0
2332.78,0,0,0
2432.78,0,0,0
2532.8,0,0,0
2632.79,0,0,0
2733.2,0,0,0
2833.19,0,0,0
2933.2,0,0,0
3033.21,0,0,0
3133.21,0,0,0
3233.18,0,0,0
3333.19,0,0,0
3433.19,0,0,0
3533.2,0,0,0
3633.2,0,0,0
3733.17,0,0,0
3833.16,0,0,0
3933.19,0,0,0
4033.18,0,0,0
4133.21,0,0,0
4232.78,0,0,0
4332.8,0,0,0
4432.78,0,0,0
4532.8,0,0,0
4632.78,0,0,0
4732.78,0,0,0
4832.83,0,0,0
4932.96,0,0,0
5032.81,0,0,0
5132.78,0,0,0
5232.83,0,0,0
5332.79,0,0,0
5432.78,0,0,0
5532.79,0,0,0
5632.78,0,0,0
5732.79,0,0,0
5832.78,0,0,0
5932.94,0,0,0
6032.81,0,0,0
6132.78,0,0,0
6232.78,0,0,0
6332.78,0,0,0
6432.78,0,0,0
6532.8,0,0,0
6632.79,0,0,0
6732.78,0,0,0
6832.79,0,0,0
6932.78,0,0,0
7032.78,0,0,0
7132.78,0,0,0
7232.78,0,0,0
7332.78,0,0,0
7433.16,0,0,0
7533.19,0,0,0
7633.17,0,0,0
7733.18,0,0,0
7833.17,0,0,0
7933.19,0,0,0
8032.79,0,0,0
8132.8,0,0,0
8233.18,0,0,0
8333.15,0,0,0
8433.19,0,0,0
8533.22,0,0,0
8632.78,0,0,0
8733.23,0,0,0
8833.22,0,0,0
8932.79,0,0,0
9032.79,0,0,0
9133.63,0,0,0
9232.75,0,0,0
9332.78,0,0,0
9432.78,0,0,0
9532.78,0,0,0
9632.79,0,0,0
9732.78,0,0,0
9832.75,0,0,0
9933.12,0,0,0
10032.8,0,0,0
10132.8,0,0,0
10232.8,0,0,0
10332.8,0,0,0
10432.8,0,0,0
10533.2,0,0,0
10632.8,0,0,0
10733.2,0,0,0
10834.4,0,0,0
208.564,0.114778,0.2,0.2
207.262,0.117689,0.4,0.4
207.825,0.121241,0.4,0.4
207.326,0.121722,0.4,0.4
204.861,0.120243,0.4,0.4
206.506,0.120965,0.4,0.4
205.572,0.117352,0.4,0.4
206.546,0.115939,0.4,0.4
206.221,0.117939,0.4,0.4
205.409,0.118246,0.4,0.4
205.105,0.117812,0.4,0.4
205.26,0.112455,0.4,0.4
204.52,0.120687,0.4,0.4
204.205,0.120687,0.4,0.4
203.888,0.113453,0.4,0.4
203.648,0.117904,0.4,0.4
203.414,0.120532,0.4,0.4
203.296,0.111543,0.4,0.4
202.751,0.111456,0.4,0.4
202.782,0.121531,0.4,0.4
203.882,0.119445,0.4,0.4
204.082,0.115538,0.4,0.4
202.639,0.116755,0.4,0.4
201.982,0.117755,0.4,0.4
201.718,0.114254,0.4,0.4
201.7,0.116537,0.4,0.4
201.489,0.119349,0.4,0.4
201.612,0.115538,0.4,0.4
201.219,0.11531,0.4,0.4
201.399,0.119938,0.4,0.4
200.728,0.116449,0.4,0.4
200.748,0.115966,0.4,0.4
200.907,0.114985,0.4,0.4
200.772,0.117616,0.4,0.4
201.235,0.112621,0.4,0.4
199.93,0.121686,0.4,0.4
200.119,0.117248,0.4,0.4
249.772,0.113453,0.4,0.4
199.491,0.116904,0.4,0.4
199.032,0.115996,0.4,0.4
198.752,0.119245,0.4,0.4
199.461,0.119904,0.4,0.4
198.96,0.112966,0.4,0.4
198.804,0.119996,0.4,0.4
198.316,0.112321,0.4,0.4
198.443,0.116755,0.4,0.4
198.194,0.117689,0.4,0.4
197.6,0.127902,0.4,0.4
197.981,0.206326,0.6,0.6
197.816,0.294978,0.8,0.8
197.702,0.385483,1,1
196.777,0.467,1,1
197.867,0.516969,1,1
197.503,0.558968,1,1
196.402,0.587701,1,1
196.286,0.615691,1,1
196.245,0.658964,1,1
196.188,0.696766,1,1
195.852,0.735378,1,1
195.571,0.778636,1,1
195.374,0.815832,1,1
195.214,0.80874,1,1
195.306,0.755366,1,1
194.806,0.684769,1,1
194.6,0.603992,1,1
194.273,0.529969,1,1
193.815,0.49493,1,1
194.933,0.453655,1,1
194.276,0.425026,1,1
193.781,0.384592,1,1
197.354,0.352781,1,1
193.449,0.313,0.6,0.6
193.907,0.277792,0.6,0.6
195.481,0.233109,0.6,0.6
196.736,0.189165,0.6,0.6
193.747,0.178642,0.6,0.6
195.713,0.180436,0.6,0.6
193.284,0.191709,0.6,0.6
192.177,0.193902,0.6,0.6
192.183,0.207642,0.6,0.6
192.115,0.214494,0.6,0.6
191.911,0.215243,0.6,0.6
191.556,0.222765,0.6,0.6
191.14,0.222674,0.6,0.6
191.518,0.223923,0.6,0.6
191.184,0.228855,0.6,0.6
190.921,0.228855,0.6,0.6
191.102,0.235366,0.6,0.6
190.799,0.237345,0.6,0.6
190.166,0.244611,0.6,0.6
189.569,0.250156,0.6,0.6
191.398,0.256773,0.6,0.6
190.197,0.254432,0.6,0.6
189.801,0.262179,0.6,0.6
189.953,0.26516,0.6,0.6
189.775,0.270938,0.6,0.6
189.04,0.270209,0.6,0.6
189.655,0.275455,0.6,0.6
189.354,0.277626,0.6,0.6
190.15,0.292208,0.8,0.8
188.219,0.297307,0.8,0.8
188.055,0.294916,0.8,0.8
188.296,0.29862,0.8,0.8
188.325,0.283561,0.8,0.8
187.58,0.228604,0.4,0.4
188.174,0.150896,0.4,0.4
188.189,0.0789861,0,0
188.071,0.00593079,0,0
187.87,0.0248938,0,0
187.795,0.0969091,0.2,0.2
187.67,0.192836,0.4,0.4
187.446,0.303193,0.6,0.6
187.223,0.402895,0.8,0.8
186.912,0.457993,1,1
187.126,0.47182,1,1
187.443,0.480993,1,1
186.629,0.455746,1,1
186.726,0.381943,1,1
186.673,0.275979,0.6,0.6
186.568,0.146809,0,0
186.421,0.0259259,0,0
186.206,-0.0580194,0,0
186.166,0.0117713,0,0
186.279,0.0530197,0.2,0.2
186.339,0.105792,0.4,0.4
186.117,0.146305,0.4,0.4
185.68,0.210789,0.6,0.6
185.822,0.312994,0.8,0.8
185.534,0.416495,1,1
185.608,0.508879,1,1
185.401,0.578794,1,1
185.202,0.593699,1,1
185.344,0.584867,1,1
185.269,0.570014,1,1
185.899,0.540867,1,1
185.543,0.523931,1,1
184.762,0.498839,1,1
184.797,0.488816,1,1
184.95,0.486971,1,1
184.692,0.478818,1,1
183.6,0.475579,1,1
184.495,0.473646,1,1
184.307,0.46029,1,1
182.729,0.442557,1,1
184.093,0.424674,1,1
184.2,0.396993,1,1
183.596,0.369244,1,1
182.969,0.333906,1,1
183.246,0.300442,0.6,0.6
182.965,0.277399,0.6,0.6
183.005,0.254236,0.6,0.6
182.858,0.23498,0.6,0.6
182.716,0.23198,0.6,0.6
182.322,0.236129,0.6,0.6
182.928,0.234885,0.6,0.6
182.303,0.226161,0.6,0.6
182.08,0.218266,0.6,0.6
183.235,0.211105,0.6,0.6
181.735,0.210981,0.6,0.6
181.677,0.199331,0.6,0.6
180.778,0.186459,0.6,0.6
180.09,0.184992,0.6,0.6
181.037,0.17403,0.6,0.6
180.889,0.158391,0.2,0.2
180.714,0.137454,0.2,0.2
179.756,0.0942308,0.2,0.2
181.132,0.0478447,0.2,0.2
179.975,0.012362,0,0
180.002,-0.014563,0,0
179.171,-0.036757,0,0
180.077,-0.0403358,0,0
179.05,-0.0278137,0,0
179.193,-0.0260222,0,0
178.432,-0.0301764,0,0
178.197,-0.0318742,0,0
178.496,-0.0341393,0,0
178.559,-0.0298792,0,0
177.964,0.00604041,0,0
177.826,0.0730238,0.2,0.2
177.579,0.118771,0.4,0.4
177.484,0.144996,0.4,0.4
177.345,0.152158,0.4,0.4
177.08,0.143438,0.4,0.4
177.485,0.104858,0.4,0.4
176.764,0.0659967,0,0
176.406,0.0150512,0,0
176.085,-0.0292948,0,0
176.299,-0.0360213,0,0
175.737,-0.0155781,0,0
175.685,-0.00418298,0,0
176.471,0.0210536,0,0
176.074,0.0529871,0.2,0.2
175.702,0.084,0.4,0.4
175.743,0.125545,0.4,0.4
175.467,0.149189,0.4,0.4
175.412,0.158448,0.4,0.4
175.308,0.159914,0.4,0.4
175.058,0.158,0.4,0.4
175.328,0.130313,0.4,0.4
174.3,0.0891971,0,0
174.307,0.0351479,0,0
174.936,-0.00242894,0,0
174.394,-0.00195967,0,0
174.578,-0.00359409,0,0
174.181,-0.00426744,0,0
174.231,-0.00133722,0,0
174.003,0.0038404,0,0
173.978,0.0067385,0,0
174.075,0.00601638,0,0
173.82,0.00532372,0,0
173.486,0.00639493,0,0
173.377,0.00595422,0,0
173.374,0.00447614,0,0
173.166,0.00694055,0,0
173.504,0.00573904,0,0
174.811,0.00573863,0,0
173.022,0.0049972,0,0
172.537,0.00758637,0,0
172.061,0.00944973,0,0
172.464,0.00728626,0,0
172.267,0.00813795,0,0
