Network Latency, State, Optimal Action, Shielded Action 
335.73,0,0,0
435.76,0,0,0
535.717,0,0,0
635.759,0,0,0
735.865,0,0,0
836.096,0,0,0
935.74,0,0,0
1035.7,0,0,0
1135.77,0,0,0
1235.85,0,0,0
1335.68,0,0,0
1435.79,0,0,0
1535.79,0,0,0
1635.75,0,0,0
1735.75,0,0,0
1835.79,0,0,0
1935.77,0,0,0
2035.81,0,0,0
2135.75,0,0,0
2235.76,0,0,0
2335.87,0,0,0
2435.82,0,0,0
2535.77,0,0,0
2637.01,0,0,0
2735.71,0,0,0
2835.91,0,0,0
2935.71,0,0,0
3035.8,0,0,0
3135.74,0,0,0
3235.72,0,0,0
3335.71,0,0,0
3435.72,0,0,0
3535.73,0,0,0
3635.72,0,0,0
3735.75,0,0,0
3835.71,0,0,0
3935.91,0,0,0
4035.72,0,0,0
4135.72,0,0,0
4235.72,0,0,0
4335.72,0,0,0
4435.73,0,0,0
4535.83,0,0,0
4635.86,0,0,0
4735.72,0,0,0
4835.72,0,0,0
4935.82,0,0,0
5035.73,0,0,0
5135.74,0,0,0
5235.66,0,0,0
5335.74,0,0,0
5435.73,0,0,0
5535.71,0,0,0
5635.81,0,0,0
5735.72,0,0,0
5835.84,0,0,0
5935.81,0,0,0
6035.84,0,0,0
6135.81,0,0,0
6235.75,0,0,0
6335.72,0,0,0
6435.82,0,0,0
6535.82,0,0,0
6635.83,0,0,0
6735.85,0,0,0
6835.83,0,0,0
6935.82,0,0,0
7035.82,0,0,0
7135.71,0,0,0
7235.71,0,0,0
7335.74,0,0,0
7435.83,0,0,0
7535.71,0,0,0
7635.72,0,0,0
7735.71,0,0,0
7835.71,0,0,0
7935.73,0,0,0
8035.72,0,0,0
8135.71,0,0,0
8235.72,0,0,0
8335.82,0,0,0
8435.74,0,0,0
8535.72,0,0,0
8635.72,0,0,0
70.3054,0.964913,0.2,0
67.282,0.967723,0.2,0
65.2539,0.960939,0.2,0
67.0985,0.968311,0.2,0
64.6783,0.96124,0.2,0
64.5551,0.958992,0.2,0
64.5175,0.963232,0.2,0
64.1735,0.964138,0.2,0
64.3794,0.959756,0.2,0
64.0544,0.960958,0.2,0
64.0604,0.95996,0.2,0
64.6113,0.961704,0.2,0
66.859,0.967128,0.2,0
66.9097,0.960752,0.2,0
63.625,0.959245,0.2,0
64.3561,0.968544,0.2,0
63.7142,0.967313,0.2,0
63.9035,0.967723,0.2,0
63.1946,0.964735,0.2,0
63.3823,0.964913,0.2,0
62.8131,0.968888,0.2,0
62.7874,0.962926,0.2,0
60.9217,0.965731,0.2,0
61.3301,0.96395,0.2,0
62.5093,0.962541,0.2,0
61.4743,0.965552,0.2,0
60.3522,0.966221,0.2,0
61.8101,0.959247,0.2,0
60.6546,0.965134,0.2,0
61.434,0.965731,0.2,0
59.8843,0.965134,0.2,0
61.2819,0.966266,0.2,0
60.794,0.966131,0.2,0
61.0822,0.957716,0.2,0
61.4853,0.957255,0.2,0
60.9652,0.96395,0.2,0
60.1606,0.966943,0.2,0
61.0561,0.967313,0.2,0
60.043,0.965945,0.2,0
60.5029,0.962144,0.2,0
60.0353,0.967511,0.2,0
63.8884,0.964138,0.2,0
60.9201,0.964138,0.2,0
61.0568,0.96428,0.2,0
60.4848,0.965608,0.2,0
60.8362,0.960958,0.2,0
60.5985,0.966221,0.2,0
59.7677,0.964681,0.2,0
60.4402,0.964948,0.2,0
60.0128,0.962236,0.2,0
59.9392,0.96124,0.2,0
60.2754,0.964948,0.2,0
60.9367,0.963557,0.2,0
61.4928,0.960752,0.2,0
62.721,0.962744,0.2,0
61.4521,0.962144,0.2,0
58.9259,0.959756,0.2,0
59.5417,0.963535,0.2,0
59.6637,0.964665,0.2,0
57.8883,0.964693,0.2,0
59.4848,0.966266,0.2,0
59.3332,0.966901,0.2,0
59.2692,0.96412,0.2,0
59.2483,0.961704,0.2,0
58.491,0.963322,0.2,0
58.7908,0.972666,0.2,0
59.5287,1.02637,0.2,0.2
59.3454,1.07945,0.4,0.4
58.8456,1.13252,0.6,0
57.9202,1.16235,0.2,0.2
58.4877,1.166,0.4,0.4
57.8484,1.15308,0.6,0
58.4193,1.13601,0.2,0.2
58.3991,1.106,0.4,0.4
57.6841,1.0858,0.6,0
57.3976,1.06061,0.2,0.2
57.8842,1.03788,0.4,0.4
57.8245,1.0228,0.6,0
57.591,1.00031,0.2,0.2
57.5533,0.969246,0.4,0
57.3442,0.961301,0.2,0
57.2717,0.952185,0.2,0
57.1711,0.944781,0.2,0
57.1339,0.950046,0.2,0
56.8479,0.959946,0.2,0
56.8078,0.995678,0.2,0
56.8721,1.04373,0.2,0.2
